country,scenario,year,steel_production,dri_network_gas_production,dri_hydrogen_production,blastfurnace_bof_production
FR,GA,2019,14449651.000000002,0.0,0.0,10056957.096
FR,GA,2030,13768453.167142859,721204.689707483,865445.6276489798,6510511.42617755
FR,GA,2040,13149182.410000002,1314918.2410000004,1577901.8892,3550279.2507000007
FR,GA,2050,12282203.350000001,241959.4059950001,3193372.8710000003,0.0
GR,DE,2019,1350000.0,0.0,0.0,0.0
GR,DE,2030,1251194.6057142857,0.0,235939.55422040817,131077.53012244898
GR,DE,2040,1161371.52,0.0,418093.7472,232274.304
GR,DE,2050,1309919.0400027,0.0,654959.52000135,0.0
GR,GA,2019,1350000.0,0.0,0.0,0.0
GR,GA,2030,1314857.8285714285,0.0,247944.61910204083,137747.0106122449
GR,GA,2040,1282910.4,0.0,461847.74399999995,256582.08
GR,GA,2050,1417953.60000135,0.0,1024077.5996858743,0.0
HR,DE,2019,69125.0,0.0,0.0,0.0
HR,DE,2030,69136.58666670287,0.0,13037.184914292544,7242.880507940301
HR,DE,2040,69147.12000006912,0.0,24892.963200024882,13829.424000013823
HR,DE,2050,69147.12000006912,0.0,34573.56000003456,0.0
HR,GA,2019,69125.0,0.0,0.0,0.0
HR,GA,2030,69136.58666670287,0.0,13037.184914292544,7242.880507940301
HR,GA,2040,69147.12000006912,0.0,24892.963200024882,13829.424000013823
HR,GA,2050,69147.12000006912,0.0,34573.56000003456,0.0
HU,DE,2019,1769498.9999999998,0.0,0.0,1417368.6989999998
HU,DE,2030,1769795.6017380692,0.0,333732.8848991788,860457.7663688423
HU,DE,2040,1770065.2396817694,0.0,637223.486285437,354013.0479363539
HU,DE,2050,1770065.2396817694,0.0,885032.6198408847,0.0
HU,GA,2019,1769498.9999999998,0.0,0.0,1417368.6989999998
HU,GA,2030,1769795.6017380692,0.0,333732.8848991788,860457.7663688423
HU,GA,2040,1770065.2396817694,0.0,637223.486285437,354013.0479363539
HU,GA,2050,1770065.2396817694,0.0,885032.6198408847,0.0
IE,DE,2019,0.0,0.0,0.0,0.0
IE,DE,2030,0.0,0.0,0.0,0.0
IE,DE,2040,0.0,0.0,0.0,0.0
IE,DE,2050,0.0,0.0,0.0,0.0
IE,GA,2019,0.0,0.0,0.0,0.0
IE,GA,2030,0.0,0.0,0.0,0.0
IE,GA,2040,0.0,0.0,0.0,0.0
IE,GA,2050,0.0,0.0,0.0,0.0
IT,DE,2019,23190364.0,0.0,0.0,4197455.884000001
IT,DE,2030,23194251.146739766,364481.0894487678,728962.1788975355,3092566.819565302
IT,DE,2040,23197784.91650319,695933.5474950958,1391867.0949901915,2087800.642485287
IT,DE,2050,23197784.91650319,0.0,4175601.284970574,0.0
IT,GA,2019,23190364.0,0.0,0.0,4197455.884000001
IT,GA,2030,25376884.034285713,677925.330630204,1355850.661260408,4221021.71103619
IT,GA,2040,27364629.52,1395596.10552,2791192.21104,4186788.3165599997
IT,GA,2050,27364629.52,0.0,8346212.003600001,0.0
LT,DE,2019,0.0,0.0,0.0,0.0
LT,DE,2030,0.0,0.0,0.0,0.0
LT,DE,2040,0.0,0.0,0.0,0.0
LT,DE,2050,0.0,0.0,0.0,0.0
LT,GA,2019,0.0,0.0,0.0,0.0
LT,GA,2030,0.0,0.0,0.0,0.0
LT,GA,2040,0.0,0.0,0.0,0.0
LT,GA,2050,0.0,0.0,0.0,0.0
LU,DE,2019,2119284.0,0.0,0.0,0.0
LU,DE,2030,2119284.0,0.0,0.0,0.0
LU,DE,2040,2119284.0,0.0,0.0,0.0
LU,DE,2050,2119284.0,0.0,0.0,0.0
LU,GA,2019,2119284.0,0.0,0.0,0.0
LU,GA,2030,1897263.7714285713,0.0,357769.739755102,198760.96653061223
LU,GA,2040,1695427.2000000002,0.0,610353.792,339085.44000000006
LU,GA,2050,1462773.8979072003,0.0,731386.9489536001,0.0
LV,DE,2019,0.0,0.0,0.0,0.0
LV,DE,2030,0.0,0.0,0.0,0.0
LV,DE,2040,0.0,0.0,0.0,0.0
LV,DE,2050,0.0,0.0,0.0,0.0
LV,GA,2019,0.0,0.0,0.0,0.0
LV,GA,2030,0.0,0.0,0.0,0.0
LV,GA,2040,0.0,0.0,0.0,0.0
LV,GA,2050,0.0,0.0,0.0,0.0
MT,DE,2019,0.0,0.0,0.0,0.0
MT,DE,2030,0.0,0.0,0.0,0.0
MT,DE,2040,0.0,0.0,0.0,0.0
MT,DE,2050,0.0,0.0,0.0,0.0
MT,GA,2019,0.0,0.0,0.0,0.0
MT,GA,2030,0.0,0.0,0.0,0.0
MT,GA,2040,0.0,0.0,0.0,0.0
MT,GA,2050,0.0,0.0,0.0,0.0
NL,DE,2019,6656866.0,0.0,0.0,6656866.0
NL,DE,2030,3169936.1904761908,0.0,0.0,1509493.4240362814
NL,DE,2040,0.0,0.0,0.0,0.0
NL,DE,2050,0.0,0.0,0.0,0.0
NL,GA,2019,6656866.0,0.0,0.0,6656866.0
NL,GA,2030,3169936.1904761908,0.0,0.0,1509493.4240362814
NL,GA,2040,0.0,0.0,0.0,0.0
NL,GA,2050,0.0,0.0,0.0,0.0
PL,DE,2019,8956063.0,0.0,0.0,4916878.587008956
PL,DE,2030,8957564.206755167,0.0,1689140.6789881173,3280174.7023827056
PL,DE,2040,8958928.940168956,0.0,3225214.418460824,1791785.7880337914
PL,DE,2050,8958928.940168956,0.0,4479464.470084478,0.0
PL,GA,2019,8956063.0,0.0,0.0,4916878.587008956
PL,GA,2030,8957564.206755167,0.0,1689140.6789881173,3280174.7023827056
PL,GA,2040,8958928.940168956,0.0,3225214.418460824,1791785.7880337914
PL,GA,2050,8958928.940168956,2239732.235042239,2239732.235042239,0.0
PT,DE,2019,2032846.0,0.0,0.0,0.0
PT,DE,2030,2033186.743711541,0.0,383400.9288141763,213000.51600787573
PT,DE,2040,2033496.5107220327,0.0,732058.7438599317,406699.3021444066
PT,DE,2050,2033496.5107220327,0.0,1016748.2553610164,0.0
PT,GA,2019,2032846.0,0.0,0.0,0.0
PT,GA,2030,2033186.743711541,0.0,383400.9288141763,213000.51600787573
PT,GA,2040,2033496.5107220327,0.0,732058.7438599317,406699.3021444066
PT,GA,2050,2033496.5107220327,0.0,1016748.2553610164,0.0
RO,DE,2019,3448322.0,0.0,0.0,2331065.672003448
RO,DE,2030,3448900.00445133,0.0,650364.0008393937,1471530.6685675427
RO,DE,2040,3449425.4630434485,0.0,1241793.1666956414,689885.0926086894
RO,DE,2050,3449425.4630434485,0.0,1724712.7315217243,0.0
RO,GA,2019,3448322.0,0.0,0.0,2331065.672003448
