country,scenario,year,olefins_production
PT,GA,2040,871865.0714285712
PT,GA,2050,915458.3249999998
RO,DE,2019,0.0
RO,DE,2030,0.0
RO,DE,2040,0.0
RO,DE,2050,0.0
RO,GA,2019,0.0
RO,GA,2030,0.0
RO,GA,2040,0.0
RO,GA,2050,0.0
SE,DE,2019,748642.6428571427
SE,DE,2030,787857.2574829931
SE,DE,2040,823506.9071428571
SE,DE,2050,823506.9071428571
SE,GA,2019,748642.6428571427
SE,GA,2030,787857.2574829931
SE,GA,2040,823506.9071428571
SE,GA,2050,823506.9071428571
SI,DE,2019,1827.357142857143
SI,DE,2030,1875.2164965986394
SI,DE,2040,1918.7250000000001
SI,DE,2050,2010.0928571428574
SI,GA,2019,1827.357142857143
SI,GA,2030,1827.357142857143
SI,GA,2040,1827.357142857143
SI,GA,2050,1918.7250000000001
SK,DE,2019,241071.42857142864
SK,DE,2030,247385.2040816327
SK,DE,2040,253125.0000000001
SK,DE,2050,265178.57142857154
SK,GA,2019,241071.42857142864
SK,GA,2030,241071.42857142864
SK,GA,2040,241071.42857142864
SK,GA,2050,253125.0000000001
