country,demand_olefins
AT,756221.2142857142
BE,4033928.571428571
BG,0.0
CY,0.0
CZ,654416.6428571427
DE,11021052.037907584
DK,0.0
EE,0.0
ES,1800732.142857143
FI,760061.5933764185
FR,5738129.428571427
GR,3492.071428571428
HR,0.0
HU,838928.5714285712
IE,0.0
IT,2019801.571428571
LT,0.0
LU,0.0
LV,0.0
MT,0.0
NL,5269000.5
PL,989960.3571428575
PT,871865.0714285712
RO,0.0
SE,748642.6428571427
SI,1827.357142857143
SK,241071.42857142864
