country,demand_naphta
AT,10587096.999999998
BE,56474999.99999999
BG,0.0
CY,0.0
CZ,9161832.999999998
DE,154294728.53070617
DK,0.0
EE,0.0
ES,25210250.0
FI,10640862.307269858
FR,80333811.99999999
GR,48888.99999999999
HR,0.0
HU,11744999.999999998
IE,0.0
IT,28277221.999999993
LT,0.0
LU,0.0
LV,0.0
MT,0.0
NL,73766007.0
PL,13859445.000000006
PT,12206110.999999998
RO,0.0
SE,10480996.999999998
SI,25583.0
SK,3375000.000000001
