DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-06,146.700,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-07,114.900,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-08,184.100,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-09,157.100,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-10,247.100,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-11,104.400,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2024-12,3.585,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-01,0.895,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-02,1.800,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-03,2.325,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-04,0.100,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-05,6.816,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-06,0.810,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-07,2.718,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-08,1.629,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-09,2.815,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-10,1.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-11,4.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2024-12,26.649,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-01,20.519,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-02,14.898,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-03,9.079,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-04,23.156,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-05,29.706,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-06,21.247,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-07,73.727,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-08,27.243,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-09,58.062,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-10,29.914,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-11,26.836,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2024-12,9.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-01,11.000,,
