DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-03,152.800,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-04,162.700,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-05,167.700,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-06,168.800,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-07,184.400,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-08,180.100,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-09,177.200,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-10,174.100,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Belgium,2025-11,159.800,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2024-12,18.940,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-01,15.097,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-02,14.979,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-03,14.809,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-04,16.597,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-05,22.577,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-06,24.012,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-07,28.712,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-08,30.122,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-09,26.278,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-10,18.762,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Bulgaria,2025-11,12.762,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2024-12,15.021,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-01,13.569,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-02,12.568,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-03,16.896,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-04,28.611,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-05,34.214,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-06,38.914,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-07,40.675,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-08,41.283,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-09,38.987,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-10,37.871,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Cyprus,2025-11,22.731,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2024-12,31.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-01,27.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-02,26.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-03,32.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-04,31.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-05,35.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-06,50.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-07,51.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-08,49.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-09,52.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-10,42.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-11,34.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2024-12,709.299,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-01,655.551,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-02,557.669,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-03,691.073,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-04,788.179,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-05,819.270,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-06,822.218,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-07,907.530,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-08,861.230,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-09,811.558,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-10,839.675,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-11,730.990,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2024-12,79.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2025-01,85.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2025-02,55.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2025-03,78.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2025-04,78.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2025-05,88.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2025-06,101.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2025-07,104.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2025-08,91.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2025-09,100.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2025-10,100.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Denmark,2025-11,77.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2024-12,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2025-01,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2025-02,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2025-03,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2025-04,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2025-05,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2025-06,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2025-07,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2025-08,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2025-09,0.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2025-10,1.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Estonia,2025-11,1.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2024-12,64.424,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2025-01,63.626,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2025-02,51.308,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2025-03,66.958,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2025-04,107.298,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2025-05,196.178,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2025-06,242.381,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2025-07,276.972,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2025-08,272.603,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2025-09,232.847,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2025-10,197.241,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Greece,2025-11,76.989,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2024-12,574.607,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2025-01,536.957,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2025-02,506.020,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2025-03,578.954,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2025-04,623.924,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2025-05,663.986,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2025-06,694.026,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2025-07,761.896,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2025-08,758.009,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2025-09,708.652,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2025-10,716.264,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Spain,2025-11,591.310,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,European Union - 27 countries (from 2020),2024-12,3530.686,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Gross inland deliveries - observed,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,European Union - 27 countries (from 2020),2025-01,3254.436,,
