country,base_scenario,scenario,year,nh3_consumption_t,nh3_domestic_t,nh3_imported_t,nh3_domestic_ch4_to_h2_to_nh3_t,nh3_domestic_h2_to_nh3_t,h2_demand_network_t,h2_produced_onsite_t,nh3_core_t,nh3_maritime_t,ch4_demand_for_h2_t,ch4_demand_for_nh3_t,hb_electricity_kwh,domestic_share,h2_route_share_of_domestic
AT,DE,intermediary-eu-nh3,2019,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,1.0,0.0
AT,DE,intermediary-eu-nh3,2020,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,1.0,0.0
AT,DE,intermediary-eu-nh3,2021,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,1.0,0.0
AT,DE,intermediary-eu-nh3,2022,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,1.0,0.0
AT,DE,intermediary-eu-nh3,2023,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,1.0,0.0
AT,DE,intermediary-eu-nh3,2024,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,0.9785714285714285,0.0
AT,DE,intermediary-eu-nh3,2025,455000.0,455000.0,0.0,379166.6666666667,75833.33333333333,13649.999999999998,68250.0,455000.0,0.0,179605.26315789475,179605.26315789475,448275.1,0.9785714285714285,0.16666666666666666
AT,DE,intermediary-eu-nh3,2026,455000.0,455000.0,0.0,379166.6666666667,75833.33333333333,13649.999999999998,68250.0,455000.0,0.0,179605.26315789475,179605.26315789475,448275.1,0.9785714285714285,0.16666666666666666
AT,DE,intermediary-eu-nh3,2027,455000.0,455000.0,0.0,379166.6666666667,75833.33333333333,13649.999999999998,68250.0,455000.0,0.0,179605.26315789475,179605.26315789475,448275.1,0.9785714285714285,0.16666666666666666
AT,DE,intermediary-eu-nh3,2028,455000.0,455000.0,0.0,379166.6666666667,75833.33333333333,13649.999999999998,68250.0,455000.0,0.0,179605.26315789475,179605.26315789475,448275.1,0.9785714285714285,0.16666666666666666
AT,DE,intermediary-eu-nh3,2029,455000.0,455000.0,0.0,379166.6666666667,75833.33333333333,13649.999999999998,68250.0,455000.0,0.0,179605.26315789475,179605.26315789475,448275.1,0.9571428571428572,0.16666666666666666
AT,DE,intermediary-eu-nh3,2030,455000.0,455000.0,0.0,303333.3333333334,151666.66666666666,27299.999999999996,54600.00000000001,455000.0,0.0,143684.21052631582,143684.21052631582,448275.1,0.9571428571428572,0.3333333333333333
AT,DE,intermediary-eu-nh3,2031,455000.0,455000.0,0.0,303333.3333333334,151666.66666666666,27299.999999999996,54600.00000000001,455000.0,0.0,143684.21052631582,143684.21052631582,448275.1,0.9571428571428572,0.3333333333333333
AT,DE,intermediary-eu-nh3,2032,455000.0,455000.0,0.0,303333.3333333334,151666.66666666666,27299.999999999996,54600.00000000001,455000.0,0.0,143684.21052631582,143684.21052631582,448275.1,0.9571428571428572,0.3333333333333333
AT,DE,intermediary-eu-nh3,2033,455000.0,455000.0,0.0,303333.3333333334,151666.66666666666,27299.999999999996,54600.00000000001,455000.0,0.0,143684.21052631582,143684.21052631582,448275.1,0.9571428571428572,0.3333333333333333
AT,DE,intermediary-eu-nh3,2034,455000.0,455000.0,0.0,303333.3333333334,151666.66666666666,27299.999999999996,54600.00000000001,455000.0,0.0,143684.21052631582,143684.21052631582,448275.1,0.9357142857142857,0.3333333333333333
AT,DE,intermediary-eu-nh3,2035,455000.0,455000.0,0.0,227500.0,227500.0,40950.0,40950.0,455000.0,0.0,107763.15789473685,107763.15789473685,448275.1,0.9357142857142857,0.5
AT,DE,intermediary-eu-nh3,2036,455000.0,455000.0,0.0,227500.0,227500.0,40950.0,40950.0,455000.0,0.0,107763.15789473685,107763.15789473685,448275.1,0.9357142857142857,0.5
AT,DE,intermediary-eu-nh3,2037,455000.0,455000.0,0.0,227500.0,227500.0,40950.0,40950.0,455000.0,0.0,107763.15789473685,107763.15789473685,448275.1,0.9357142857142857,0.5
AT,DE,intermediary-eu-nh3,2038,455000.0,455000.0,0.0,227500.0,227500.0,40950.0,40950.0,455000.0,0.0,107763.15789473685,107763.15789473685,448275.1,0.9357142857142857,0.5
AT,DE,intermediary-eu-nh3,2039,455000.0,455000.0,0.0,227500.0,227500.0,40950.0,40950.0,455000.0,0.0,107763.15789473685,107763.15789473685,448275.1,0.9142857142857143,0.5
AT,DE,intermediary-eu-nh3,2040,455000.0,455000.0,0.0,151666.6666666667,303333.3333333333,54599.99999999999,27300.000000000004,455000.0,0.0,71842.10526315791,71842.10526315791,448275.1,0.9142857142857143,0.6666666666666666
AT,DE,intermediary-eu-nh3,2041,455000.0,455000.0,0.0,151666.6666666667,303333.3333333333,54599.99999999999,27300.000000000004,455000.0,0.0,71842.10526315791,71842.10526315791,448275.1,0.9142857142857143,0.6666666666666666
AT,DE,intermediary-eu-nh3,2042,455000.0,455000.0,0.0,151666.6666666667,303333.3333333333,54599.99999999999,27300.000000000004,455000.0,0.0,71842.10526315791,71842.10526315791,448275.1,0.9142857142857143,0.6666666666666666
AT,DE,intermediary-eu-nh3,2043,455000.0,455000.0,0.0,151666.6666666667,303333.3333333333,54599.99999999999,27300.000000000004,455000.0,0.0,71842.10526315791,71842.10526315791,448275.1,0.9142857142857143,0.6666666666666666
AT,DE,intermediary-eu-nh3,2044,455000.0,455000.0,0.0,151666.6666666667,303333.3333333333,54599.99999999999,27300.000000000004,455000.0,0.0,71842.10526315791,71842.10526315791,448275.1,0.8928571428571428,0.6666666666666666
AT,DE,intermediary-eu-nh3,2045,455000.0,455000.0,0.0,75833.33333333331,379166.6666666667,68250.0,13649.999999999996,455000.0,0.0,35921.05263157894,35921.05263157894,448275.1,0.8928571428571428,0.8333333333333334
AT,DE,intermediary-eu-nh3,2046,455000.0,455000.0,0.0,75833.33333333331,379166.6666666667,68250.0,13649.999999999996,455000.0,0.0,35921.05263157894,35921.05263157894,448275.1,0.8928571428571428,0.8333333333333334
AT,DE,intermediary-eu-nh3,2047,455000.0,455000.0,0.0,75833.33333333331,379166.6666666667,68250.0,13649.999999999996,455000.0,0.0,35921.05263157894,35921.05263157894,448275.1,0.8928571428571428,0.8333333333333334
AT,DE,intermediary-eu-nh3,2048,455000.0,455000.0,0.0,75833.33333333331,379166.6666666667,68250.0,13649.999999999996,455000.0,0.0,35921.05263157894,35921.05263157894,448275.1,0.8928571428571428,0.8333333333333334
AT,DE,intermediary-eu-nh3,2049,455000.0,455000.0,0.0,75833.33333333331,379166.6666666667,68250.0,13649.999999999996,455000.0,0.0,35921.05263157894,35921.05263157894,448275.1,0.8714285714285714,0.8333333333333334
AT,DE,intermediary-eu-nh3,2050,455000.0,455000.0,0.0,0.0,455000.0,81900.0,0.0,455000.0,0.0,0.0,0.0,448275.1,0.85,1.0
AT,GA,intermediary-eu-nh3,2019,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,1.0,0.0
AT,GA,intermediary-eu-nh3,2020,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,1.0,0.0
AT,GA,intermediary-eu-nh3,2021,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,1.0,0.0
AT,GA,intermediary-eu-nh3,2022,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,1.0,0.0
AT,GA,intermediary-eu-nh3,2023,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,1.0,0.0
AT,GA,intermediary-eu-nh3,2024,455000.0,455000.0,0.0,455000.0,0.0,0.0,81900.0,455000.0,0.0,215526.3157894737,215526.3157894737,448275.1,0.9785714285714285,0.0
AT,GA,intermediary-eu-nh3,2025,455000.0,455000.0,0.0,379166.6666666667,75833.33333333333,13649.999999999998,68250.0,455000.0,0.0,179605.26315789475,179605.26315789475,448275.1,0.9785714285714285,0.16666666666666666
AT,GA,intermediary-eu-nh3,2026,455000.0,455000.0,0.0,379166.6666666667,75833.33333333333,13649.999999999998,68250.0,455000.0,0.0,179605.26315789475,179605.26315789475,448275.1,0.9785714285714285,0.16666666666666666
AT,GA,intermediary-eu-nh3,2027,455000.0,455000.0,0.0,379166.6666666667,75833.33333333333,13649.999999999998,68250.0,455000.0,0.0,179605.26315789475,179605.26315789475,448275.1,0.9785714285714285,0.16666666666666666
