country,year,olefins_proxy_refinery_t_per_yr,olefins_refinery_t_per_yr,olefins_total_t_per_yr,olefins_nonrefinery_t_per_yr,olefins_e_t_per_yr,olefins_bio_e_t_per_yr,olefins_bio_t_per_yr,h2_refinery_t_per_yr,h2_nonrefinery_t_per_yr,h2_total_t_per_yr,refinery_scenario,demand_scenario
AT,2025,483.0908409056774,483.0908409056774,483.0908409056774,0.0,0.0,0.0,0.0,24.154542045283872,0.0,24.154542045283872,more-molecule,decline-1pct
AT,2026,438.5790872147327,438.5790872147327,478.2599324966206,39.68084528188791,27.776591697321535,3.9680845281887915,7.936169056377583,21.928954360736636,13.605768230253725,35.53472259099036,more-molecule,decline-1pct
AT,2027,394.06733352378785,394.06733352378785,473.4773331716544,79.40999964786653,55.58699975350657,7.940999964786653,15.881999929573306,19.703366676189393,27.228100679260475,46.93146735544987,more-molecule,decline-1pct
AT,2028,349.5555798328431,349.5555798328431,468.7425598399379,119.1869800070948,83.43088600496635,11.918698000709481,23.837396001418963,17.477778991642154,40.86683170483266,58.34461069647482,more-molecule,decline-1pct
AT,2029,305.04382614189825,305.04382614189825,464.05513424153844,159.0113080996402,111.30791566974813,15.90113080996402,31.80226161992804,15.252191307094913,54.52179732120462,69.77398862829953,more-molecule,decline-1pct
AT,2030,260.53207245095354,260.53207245095354,459.41458289912305,198.8825104481695,139.21775731371864,19.888251044816954,39.77650208963391,13.026603622547677,68.19283518246834,81.21943880501603,more-molecule,decline-1pct
AT,2031,260.93443858601296,260.93443858601296,454.8204370701319,193.88599848411894,135.72019893888324,19.388599848411896,38.77719969682379,13.046721929300649,66.47963116023469,79.52635308953533,more-molecule,decline-1pct
AT,2032,261.3368047210724,261.3368047210724,450.2722326994305,188.93542797835812,132.25479958485067,18.893542797835813,37.78708559567163,13.06684023605362,64.78217954521942,77.84901978127304,more-molecule,decline-1pct
AT,2033,261.7391708561317,261.7391708561317,445.76951037243623,184.03033951630454,128.82123766141316,18.403033951630455,36.80606790326091,13.086958542806585,63.10032281335049,76.18728135615707,more-molecule,decline-1pct
AT,2034,262.1415369911912,262.1415369911912,441.3118152687119,179.1702782775207,125.41919479426448,17.917027827752072,35.834055655504145,13.10707684955956,61.43390501579629,74.54098186535585,more-molecule,decline-1pct
AT,2035,262.5439031262505,262.5439031262505,436.8986971160247,174.35479398977424,122.04835579284196,17.435479398977424,34.87095879795485,13.127195156312524,59.78277176321379,72.90996691952631,more-molecule,decline-1pct
AT,2036,262.9462692613099,262.9462692613099,432.5297101448645,169.5834408835546,118.7084086184882,16.95834408835546,33.91668817671092,13.147313463065496,58.1467702101532,71.2940836732187,more-molecule,decline-1pct
AT,2037,263.3486353963692,263.3486353963692,428.20441304341585,164.85577764704664,115.39904435293263,16.485577764704665,32.97115552940933,13.167431769818462,56.52574903961934,69.6931808094378,more-molecule,decline-1pct
AT,2038,263.7510015314287,263.7510015314287,423.92236891298165,160.17136738155295,112.11995716708707,16.017136738155298,32.034273476310595,13.187550076571435,54.91955844778687,68.10710852435831,more-molecule,decline-1pct
AT,2039,264.153367666488,264.153367666488,419.68314522385185,155.52977755736384,108.87084429015468,15.552977755736386,31.10595551147277,13.207668383324402,53.3280501288689,66.5357185121933,more-molecule,decline-1pct
AT,2040,264.5557338015475,264.5557338015475,415.48631377161337,150.93057997006588,105.6514059790461,15.09305799700659,30.18611599401318,13.227786690077375,51.75107726013618,64.97886395021355,more-molecule,decline-1pct
AT,2041,243.83387784598895,243.83387784598895,411.3314506338972,167.49757278790824,117.24830095153575,16.749757278790824,33.49951455758165,12.191693892299448,57.431567757517975,69.62326164981742,more-molecule,decline-1pct
